,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Heat_Island,LST-Max,LST-Mean,Smoke,Popultatuion
0,Ada,16001000100,0.63,0.8422,0.67,0.1863,0.6272,28.58137107754732,1.5895633697509766,39.83000000000004,34.70967264611061,231.01914063421737,2624.0
1,Ada,16001000200,0.125,0.3942,0.028,0.0752,0.3799,17.187434245684376,1.5895633697509766,46.75000000000006,39.328261612723374,0.0,5785.0
2,Ada,16001000301,0.136,0.3261,0.025,0.0716,0.491,78.83992856983632,1.5895633697509766,42.51000000000005,34.90724173494533,0.0,5647.0
3,Ada,16001000302,0.756,0.8637,0.344,0.9032,0.5949,84.8090569671221,1.5895633697509766,39.73000000000002,33.935253519910205,226.71669781208038,2299.0
4,Ada,16001000400,0.738,0.9247,0.616,0.4121,0.6953,64.7815664374812,1.5895633697509766,33.73000000000002,32.493429032836936,226.71669781208038,4200.0
5,Ada,16001000500,0.179,0.1362,0.315,0.2688,0.4265,91.3286622111942,1.5895633697509766,40.93000000000001,33.53688449412442,226.71669781208038,3869.0
6,Ada,16001000600,0.143,0.344,0.111,0.0465,0.448,92.22810040435355,1.5895633697509766,34.59000000000003,33.00451942038931,227.72201808289316,3614.0
7,Ada,16001000700,0.189,0.5304,0.078,0.0573,0.5017,33.6927513686146,1.5895633697509766,46.49000000000001,42.23481577163378,0.0,5112.0
8,Ada,16001000801,0.215,0.5806,0.129,0.0609,0.4802,73.29057658225588,1.5895633697509766,41.29000000000002,39.01654419096547,0.0,5840.0
9,Ada,16001000802,0.197,0.2473,0.068,0.2974,0.5698,76.19762718965345,1.5895633697509766,39.53000000000003,39.10534370865105,233.40919715166086,3574.0
10,Ada,16001000803,0.053,0.0465,0.1,0.1326,0.3655,70.80746226458506,1.5895633697509766,39.85000000000002,39.12691631957594,233.40979548857945,2929.0
11,Ada,16001000900,0.594,0.9318,0.541,0.0537,0.7025,45.57457236256141,1.5895633697509766,39.33000000000004,38.33094632579309,233.40919715166086,3604.0
